104,0,consent,proceed,30/04/2019 15:39:55.
104,1,eventName,option1,30/04/2019 15:41:03.
104,1,signUpFee,204,30/04/2019 15:41:03.
104,1,weatherStarCountGroup1Input,5,30/04/2019 15:41:21.
104,1,weatherStarCountGroup2Input,3,30/04/2019 15:41:21.
104,1,weatherStarCountGroup3Input,3,30/04/2019 15:41:21.
104,1,weatherStarCountGroup4Input,1,30/04/2019 15:41:21.
104,1,starCountGroup1Input,7,30/04/2019 15:41:29.
104,1,starCountGroup2Input,4,30/04/2019 15:41:29.
104,1,starCountGroup3Input,1,30/04/2019 15:41:29.
104,1,starCountGroup4Input,0,30/04/2019 15:41:29.
104,1,starCountGroup5Input,0,30/04/2019 15:41:29.
104,1,starCountGroup6Input,0,30/04/2019 15:41:29.
104,1,trust1,81.76,30/04/2019 15:41:49.
104,1,trust2,44.59,30/04/2019 15:41:49.
104,1,trust3,41.89,30/04/2019 15:41:49.
104,1,trust4,21.62,30/04/2019 15:41:49.
104,1,trust5,40.2,30/04/2019 15:41:49.
104,1,trust6,67.57,30/04/2019 15:41:49.
104,1,trust7,40.54,30/04/2019 15:41:49.
104,1,trust8,43.24,30/04/2019 15:41:49.
104,1,goodDeedWillingness,43.24,30/04/2019 15:41:55.
104,1,donationWillingness,4459,30/04/2019 15:41:55.
105,0,consent,proceed,30/04/2019 20:48:49.
105,1,eventName,option1,30/04/2019 20:49:12.
105,1,signUpFee,30,30/04/2019 20:49:12.
105,1,weatherStarCountGroup1Input,8,30/04/2019 20:49:25.
105,1,weatherStarCountGroup2Input,3,30/04/2019 20:49:25.
105,1,weatherStarCountGroup3Input,1,30/04/2019 20:49:25.
105,1,weatherStarCountGroup4Input,0,30/04/2019 20:49:25.
105,1,starCountGroup1Input,2,30/04/2019 20:49:40.
105,1,starCountGroup2Input,4,30/04/2019 20:49:40.
105,1,starCountGroup3Input,4,30/04/2019 20:49:40.
105,1,starCountGroup4Input,2,30/04/2019 20:49:40.
105,1,starCountGroup5Input,0,30/04/2019 20:49:40.
105,1,starCountGroup6Input,0,30/04/2019 20:49:40.
105,1,trust1,100,30/04/2019 20:50:37.
105,1,trust2,50,30/04/2019 20:50:37.
105,1,trust3,50.34,30/04/2019 20:50:37.
105,1,trust4,40.88,30/04/2019 20:50:37.
105,1,trust5,40.54,30/04/2019 20:50:37.
105,1,trust6,65.88,30/04/2019 20:50:37.
105,1,trust7,60.14,30/04/2019 20:50:37.
105,1,trust8,50.68,30/04/2019 20:50:37.
105,1,goodDeedWillingness,90.54,30/04/2019 20:51:03.
105,1,donationWillingness,507,30/04/2019 20:51:03.
107,0,consent,proceed,01/05/2019 12:17:07.
107,1,eventName,option1,01/05/2019 12:17:47.
107,1,signUpFee,242,01/05/2019 12:17:47.
107,1,weatherStarCountGroup1Input,6,01/05/2019 12:19:02.
107,1,weatherStarCountGroup2Input,3,01/05/2019 12:19:02.
107,1,weatherStarCountGroup3Input,2,01/05/2019 12:19:02.
107,1,weatherStarCountGroup4Input,1,01/05/2019 12:19:02.
108,0,consent,proceed,01/05/2019 12:19:24.
107,1,starCountGroup1Input,5,01/05/2019 12:19:25.
107,1,starCountGroup2Input,3,01/05/2019 12:19:25.
107,1,starCountGroup3Input,1,01/05/2019 12:19:25.
107,1,starCountGroup4Input,1,01/05/2019 12:19:25.
107,1,starCountGroup5Input,1,01/05/2019 12:19:25.
107,1,starCountGroup6Input,1,01/05/2019 12:19:25.
107,1,trust1,100,01/05/2019 12:19:55.
107,1,trust2,35.25,01/05/2019 12:19:55.
107,1,trust3,51.58,01/05/2019 12:19:55.
107,1,trust4,50,01/05/2019 12:19:55.
107,1,trust5,72.41,01/05/2019 12:19:55.
107,1,trust6,69.31,01/05/2019 12:19:55.
107,1,trust7,49.32,01/05/2019 12:19:55.
107,1,trust8,82.77,01/05/2019 12:19:55.
107,1,goodDeedWillingness,100,01/05/2019 12:20:09.
107,1,donationWillingness,1216,01/05/2019 12:20:09.
108,1,eventName,option1,01/05/2019 12:20:19.
108,1,signUpFee,0,01/05/2019 12:20:19.
108,1,weatherStarCountGroup1Input,5,01/05/2019 12:21:03.
108,1,weatherStarCountGroup2Input,3,01/05/2019 12:21:03.
108,1,weatherStarCountGroup3Input,2,01/05/2019 12:21:03.
108,1,weatherStarCountGroup4Input,2,01/05/2019 12:21:03.
108,1,starCountGroup1Input,5,01/05/2019 12:21:17.
108,1,starCountGroup2Input,4,01/05/2019 12:21:17.
